Date,Time,Timezone,Open,High,Low,Close
2025-01-08,11:38:00,+05:30,23593.5,23595.15,23578.5,23579.7
2025-01-08,11:39:00,+05:30,23579.55,23581.15,23576.05,23579.55
2025-01-08,11:40:00,+05:30,23580.85,23581.6,23576.65,23576.95
2025-01-08,11:41:00,+05:30,23577.15,23586.5,23575.95,23586.3
2025-01-08,11:42:00,+05:30,23586.7,23587.2,23579.1,23579.1
2025-01-08,11:43:00,+05:30,23580.05,23580.05,23569.1,23571.95
2025-01-08,11:44:00,+05:30,23571.55,23572.65,23570.1,23572.0
2025-01-08,11:45:00,+05:30,23571.6,23572.8,23566.4,23567.8
2025-01-08,11:46:00,+05:30,23568.35,23569.25,23564.35,23567.25
2025-01-08,11:47:00,+05:30,23568.2,23571.05,23565.0,23566.0
2025-01-08,11:48:00,+05:30,23566.3,23566.3,23559.9,23562.7
2025-01-08,11:49:00,+05:30,23562.55,23568.25,23559.6,23566.15
2025-01-08,11:50:00,+05:30,23565.3,23567.8,23560.3,23560.3
2025-01-08,11:51:00,+05:30,23559.75,23559.9,23555.5,23557.45
2025-01-08,11:52:00,+05:30,23557.1,23558.7,23552.95,23554.4
2025-01-08,11:53:00,+05:30,23553.85,23553.95,23548.95,23550.65
2025-01-08,11:54:00,+05:30,23550.75,23553.75,23547.15,23552.7
2025-01-08,11:55:00,+05:30,23552.45,23562.3,23552.45,23559.9
2025-01-08,11:56:00,+05:30,23559.85,23560.9,23554.15,23558.1
2025-01-08,11:57:00,+05:30,23558.4,23565.4,23556.7,23561.5
2025-01-08,11:58:00,+05:30,23560.35,23563.85,23553.1,23553.8
2025-01-08,11:59:00,+05:30,23554.3,23558.95,23551.55,23553.6
2025-01-08,12:00:00,+05:30,23553.55,23553.9,23544.5,23545.95
2025-01-08,12:01:00,+05:30,23546.45,23546.45,23532.5,23539.85
2025-01-08,12:02:00,+05:30,23538.8,23546.15,23537.1,23542.8
2025-01-08,12:03:00,+05:30,23542.4,23543.35,23535.2,23539.6
2025-01-08,12:04:00,+05:30,23539.9,23545.45,23537.75,23544.25
2025-01-08,12:05:00,+05:30,23545.2,23547.1,23542.8,23544.1
2025-01-08,12:06:00,+05:30,23543.95,23544.55,23531.8,23535.7
2025-01-08,12:07:00,+05:30,23536.35,23545.75,23534.65,23543.6
2025-01-08,12:08:00,+05:30,23544.2,23547.65,23539.15,23546.3
2025-01-08,12:09:00,+05:30,23546.4,23552.0,23544.9,23546.2
2025-01-08,12:10:00,+05:30,23546.7,23551.55,23543.25,23545.95
2025-01-08,12:11:00,+05:30,23545.85,23546.4,23538.7,23540.5
2025-01-08,12:12:00,+05:30,23541.4,23547.1,23538.15,23542.35
2025-01-08,12:13:00,+05:30,23543.7,23543.7,23533.8,23534.25
2025-01-08,12:14:00,+05:30,23534.8,23534.85,23525.45,23526.75
2025-01-08,12:15:00,+05:30,23526.55,23530.7,23523.75,23527.55
2025-01-08,12:16:00,+05:30,23527.65,23542.15,23523.65,23540.25
2025-01-08,12:17:00,+05:30,23540.35,23540.4,23529.75,23536.95
2025-01-08,12:18:00,+05:30,23536.9,23538.35,23529.6,23531.1
2025-01-08,12:19:00,+05:30,23531.3,23544.5,23530.35,23544.5
2025-01-08,12:20:00,+05:30,23544.8,23557.8,23543.0,23555.25
2025-01-08,12:21:00,+05:30,23554.85,23556.7,23548.15,23549.5
2025-01-08,12:22:00,+05:30,23549.6,23557.9,23549.6,23556.85
2025-01-08,12:23:00,+05:30,23557.4,23559.2,23551.55,23553.45
2025-01-08,12:24:00,+05:30,23554.45,23556.9,23550.9,23553.4
2025-01-08,12:25:00,+05:30,23554.65,23555.45,23536.2,23541.5
2025-01-08,12:26:00,+05:30,23540.3,23544.1,23530.4,23531.35
2025-01-08,12:27:00,+05:30,23532.35,23537.6,23526.9,23537.2
2025-01-08,12:28:00,+05:30,23538.45,23539.7,23529.15,23531.35
2025-01-08,12:29:00,+05:30,23532.7,23535.7,23529.15,23533.0
2025-01-08,12:30:00,+05:30,23532.5,23537.05,23526.0,23527.65
2025-01-08,12:31:00,+05:30,23528.5,23528.5,23511.8,23514.75
2025-01-08,12:32:00,+05:30,23516.75,23521.25,23510.15,23514.2
2025-01-08,12:33:00,+05:30,23515.6,23516.35,23509.55,23511.9
2025-01-08,12:34:00,+05:30,23512.95,23513.05,23506.7,23510.15
2025-01-08,12:35:00,+05:30,23511.0,23516.1,23508.35,23515.0
2025-01-08,12:36:00,+05:30,23516.35,23521.1,23508.4,23510.8
2025-01-08,12:37:00,+05:30,23510.5,23517.15,23505.65,23516.25
2025-01-08,12:38:00,+05:30,23516.75,23517.2,23507.15,23514.2
2025-01-08,12:39:00,+05:30,23514.45,23515.85,23496.15,23515.85
2025-01-08,12:40:00,+05:30,23520.15,23522.7,23512.35,23516.5
2025-01-08,12:41:00,+05:30,23518.0,23520.35,23509.9,23511.9
2025-01-08,12:42:00,+05:30,23512.8,23523.5,23502.85,23506.15
